Country,LeagueName,LeagueId,isCup,StageName,StageId,GroupName
Africa,Africa Champions Cup,1576,1,Regular Season,1576,
Africa,Africa Champions Cup Women,4067,1,Regular Season,4067,
Africa,Africa Cup 3x3,4062,1,Regular Season,4062,
Africa,Africa Cup 3x3 Women,4063,1,Regular Season,4063,
Africa,African Championship U16,3517,1,Regular Season,3517,
Africa,African Championship U16,3517,1,Regular Season,3517,Regular+Season
Africa,African Championship U16 Women,3544,1,Regular Season,3544,
Africa,African Championship U16 Women,3544,1,Regular Season,3544,Regular+Season
Africa,African Championship U18 Women,3993,1,Regular Season,3993,
Africa,African Championship U18 Women,3993,1,Regular Season,3993,Regular+Season
Africa,African Championship Women,2455,1,Regular Season,2455,
Argentina,Liga A,1170,0,Regular Season,1170,
Argentina,Liga A,1170,0,Regular Season,1170,Regular+Season
Argentina,Super Cup,4071,1,Regular Season,4071,
Argentina,Torneo Super 20 Playoffs,3592,1,Regular Season,3592,
Argentina,Torneo Super 20,3592,1,Regular Season,3592,Group+A1
Argentina,Torneo Super 20,3592,1,Regular Season,3592,Group+A2
Argentina,Torneo Super 20,3592,1,Regular Season,3592,Group+B1
Argentina,Torneo Super 20,3592,1,Regular Season,3592,Group+B2
Argentina,Torneo Super 20,3592,1,Regular Season,3592,North
Argentina,Torneo Super 20,3592,1,Regular Season,3592,South
Asia,ABL,1307,1,Regular Season,1307,
Asia,Asia Champions Cup,1304,1,Regular Season,1304,
Asia,Asia Championship U16,3708,1,Regular Season,3708,
Asia,Asia Championship U16 B Women,3616,1,Regular Season,3616,
Asia,Asia Championship U16 Women,3615,1,Regular Season,3615,
Asia,Asia Championship U18,2087,1,Regular Season,2087,
Asia,Asia Championship U18 B Women,4056,1,Regular Season,4056,
Asia,Asia Championship U18 Women,4057,1,Regular Season,4057,
Asia,Asia Cup,2097,1,Regular Season,2097,
Asia,Asia Cup,2097,1,Regular Season,2097,Group+A
Asia,Asia Cup,2097,1,Regular Season,2097,Group+B
Asia,Asia Cup,2097,1,Regular Season,2097,Group+C
Asia,Asia Cup,2097,1,Regular Season,2097,Group+D
Asia,Asia Cup,2097,1,Regular Season,2097,Group+E
Asia,Asia Cup,2097,1,Regular Season,2097,Group+F
Asia,Asia Cup 3x3,3621,1,Regular Season,3621,
Asia,Asia Cup 3x3 U18,3674,1,Regular Season,3674,
Asia,Asia Cup 3x3 U18 Women,3675,1,Regular Season,3675,
Asia,Asia Cup 3x3 Women,3620,1,Regular Season,3620,
Asia,Asia Cup Women,3521,1,Regular Season,3521,
Asia,Asia Cup Women,3521,1,Regular Season,3521,Group+A
Asia,Asia Cup Women,3521,1,Regular Season,3521,Group+B
Asia,Asian Games,2620,1,Regular Season,2620,
Asia,Asian Games,2620,1,Regular Season,2620,Group+A
Asia,Asian Games,2620,1,Regular Season,2620,Group+B
Asia,Asian Games,2620,1,Regular Season,2620,Group+C
Asia,Asian Games,2620,1,Regular Season,2620,Group+D
Asia,Asian Games 3x3,3994,1,Regular Season,3994,
Asia,Asian Games 3x3 Women,3995,1,Regular Season,3995,
Asia,Asian Games Women,2613,1,Regular Season,2613,
Asia,Asian Games Women,2613,1,Regular Season,2613,Group+A
Asia,Asian Games Women,2613,1,Regular Season,2613,Group+B
Asia,EABA Championship,3454,1,Regular Season,3454,
Asia,SEABA Championship,3447,1,Regular Season,3447,
Asia,SEABA Championship Women,3236,1,Regular Season,3236,
Asia,Southeast Asian Games,2707,1,Regular Season,2707,
Asia,Southeast Asian Games Women,2708,1,Regular Season,2708,
Australia,NBL,1183,0,Regular Season,1183,
Australia,NBL,1183,0,Regular Season,1183,Regular+Season
Australia,NBL1,4103,0,Regular Season,4103,
Australia,NBL1 Women,4104,0,Regular Season,4104,
Australia,WNBL Women,1521,0,Regular Season,1521,
Australia,WNBL Women,1521,0,Regular Season,1521,Regular+Season
Austria,Austria Cup,1286,1,Regular Season,1286,
Austria,AWBL Women,2615,1,Regular Season,2615,
Austria,Zweite Liga,2472,0,Regular Season,2472,
Austria,Zweite Liga,2472,0,Regular Season,2472,Regular+Season
Bahrain,Premier League,2287,0,Regular Season,2287,
Bahrain,Premier League,2287,0,Regular Season,2287,Regular+Season
Belarus,Premier League,2274,0,Regular Season,2274,
Belarus,Premier League,2274,0,Regular Season,2274,Regular+Season
Belarus,Premier League Women,3967,0,Regular Season,3967,
Belarus,Premier League Women,3967,0,Regular Season,3967,Regular+Season
Belgium,Belgian Cup,2272,1,Regular Season,2272,
Belgium,EuroMillions Basketball League,3509,0,Regular Season,3509,
Belgium,Top Division Women,3650,0,Regular Season,3650,
Belgium,Top Division Women,3650,0,Regular Season,3650,Regular+Season
Bosnia And Herzegovina,Prvenstvo BiH,2656,0,Regular Season,2656,
Bosnia And Herzegovina,Prvenstvo BiH,2656,0,Regular Season,2656,Regular+Season
Brazil,LBF Women,1594,0,Regular Season,1594,
Brazil,NBB,1171,0,Regular Season,1171,
Brazil,NBB,1171,0,Regular Season,1171,Regular+Season
Bulgaria,Bulgarian Cup,1326,1,Regular Season,1326,
Bulgaria,NBL,1017,0,Regular Season,1017,
Bulgaria,NBL,1017,0,Regular Season,1017,Regular+Season
Canada,NBL,2242,0,Regular Season,2242,
Canada,U Sports,3613,0,Regular Season,3613,
Canada,U Sports,3613,0,Regular Season,3613,Atlantic+University+Sport
Canada,U Sports,3613,0,Regular Season,3613,CW+Central
Canada,U Sports,3613,0,Regular Season,3613,CW+East
Canada,U Sports,3613,0,Regular Season,3613,CW+West
Canada,U Sports,3613,0,Regular Season,3613,OUA+East
Canada,U Sports,3613,0,Regular Season,3613,OUA+West
Canada,U Sports,3613,0,Regular Season,3613,RSEQ
Chile,LNB,2633,0,Regular Season,2633,Regular+Season
China,CBA,1571,0,Regular Season,1571,
China,CBA,1571,0,Regular Season,1571,Regular+Season
China,WCBA Women,2281,0,Regular Season,2281,
Croatia,Croatian Cup,2310,1,Regular Season,2310,
Croatia,Premijer liga,3983,0,Regular Season,3983,
Croatia,Premijer liga,3983,0,Regular Season,3983,Regular+Season
Cyprus,Division A,1173,0,Regular Season,1173,
Cyprus,Division A,1173,0,Regular Season,1173,Regular+Season
Czech Republic,Czech Cup,1336,1,Regular Season,1336,
Czech Republic,Czech Cup Women,1570,1,Regular Season,1570,
Czech Republic,NBL,1011,0,Regular Season,1011,
Czech Republic,NBL,1011,0,Regular Season,1011,Regular+Season
Czech Republic,ZBL Women,1501,0,Regular Season,1501,
Czech Republic,ZBL Women,1501,0,Regular Season,1501,Regular+Season
Denmark,Basketligaen,2542,0,Regular Season,2542,
Denmark,Basketligaen,2542,0,Regular Season,2542,Regular+Season
Denmark,Dameligaen Women,1328,0,Regular Season,1328,
Denmark,Dameligaen Women,1328,0,Regular Season,1328,Regular+Season
Denmark,Denmark Cup,1185,1,Regular Season,1185,
Denmark,Denmark Cup Women,1442,1,Regular Season,1442,
Europe,ABA League,1532,0,Regular Season,1532,
Europe,ABA League,1532,0,Regular Season,1532,Regular+Season
Europe,ABA League 2,3608,0,Regular Season,3608,
Europe,ABA League 2,3608,0,Regular Season,3608,Regular+Season
Europe,ABA Supercup,3596,1,Regular Season,3596,
Europe,Acropolis Tournament,1319,0,Regular Season,1319,
Europe,Alpe Adria Cup,2764,1,Regular Season,2764,
Europe,Alpe Adria Cup,2764,1,Regular Season,2764,Group+A
Europe,Alpe Adria Cup,2764,1,Regular Season,2764,Group+B
Europe,Alpe Adria Cup,2764,1,Regular Season,2764,Group+C
Europe,Alpe Adria Cup,2764,1,Regular Season,2764,Group+D
Europe,BIBL,1297,0,Regular Season,1297,
Europe,BIBL,1297,0,Regular Season,1297,Group+A
Europe,BIBL,1297,0,Regular Season,1297,Group+B
Europe,CEWL Women,2634,1,Regular Season,2634,
Europe,Champions League,2863,1,Regular Season,2863,
Europe,Champions League,2863,1,Regular Season,2863,Group+A
Europe,Champions League,2863,1,Regular Season,2863,Group+B
Europe,Champions League,2863,1,Regular Season,2863,Group+C
Europe,Champions League,2863,1,Regular Season,2863,Group+D
Europe,Champions League,2863,1,Regular Season,2863,Group+E
Europe,Champions League,2863,1,Regular Season,2863,Group+F
Europe,Champions League,2863,1,Regular Season,2863,Group+G
Europe,Champions League,2863,1,Regular Season,2863,Group+H
Europe,EuroBasket,1312,1,Regular Season,1312,
Europe,EuroBasket,1312,1,Regular Season,1312,Group+A
Europe,EuroBasket,1312,1,Regular Season,1312,Group+B
Europe,EuroBasket,1312,1,Regular Season,1312,Group+C
Europe,EuroBasket,1312,1,Regular Season,1312,Group+D
Europe,EuroBasket,1312,1,Regular Season,1312,Group+E
Europe,EuroBasket,1312,1,Regular Season,1312,Group+F
Europe,EuroBasket,1312,1,Regular Season,1312,Group+G
Europe,EuroBasket,1312,1,Regular Season,1312,Group+H
Europe,EuroBasket,1312,1,Regular Season,1312,Ranking+of+second-placed+teams
Europe,EuroBasket U16,1410,1,Regular Season,1410,
Europe,EuroBasket U16 B,2837,1,Regular Season,2837,
Europe,EuroBasket U16 C,2841,1,Regular Season,2841,
